0.01	506469678673267
0.02	33316811172649.4
0.03	6977869903501.87
0.04	2359002995363.49
0.05	1040715947685.1
0.06	545107690189.428
0.07	322363110716.908
0.08	208899049080.326
0.09	145516269083.452
0.1	107544704269.186
0.11	83544525150.2888
0.12	67748047739.2047
0.13	57046076227.2566
0.14	49669626100.4284
0.15	44568119175.5422
0.16	41097269779.7645
0.17	38854172216.4545
0.18	37586516360.6489
0.19	37141138722.1934
0.2	37434548298.944
0.21	38436459934.533
0.22	40161638441.5282
0.23	42667675840.2121
0.24	46057710951.1533
0.25	50488073501.7481
0.26	56181696951.4252
0.27	63449124089.1235
0.28	72720269614.4441
0.29	84592144357.5069
0.3	99901042166.6818
0.31	119833221229.584
0.32	146097676275.614
0.33	181201622263.438
0.34	228900535606.759
0.35	294953773253.588
0.36	388433060787.711
0.37	524069057211.708
0.38	726630905676.464
0.39	1039484464474.77
0.4	1542235501535.74
0.41	2389473409247.74
0.42	3902550557512.64
0.43	6808151598125.01
0.44	12935226615845.4
0.45	27585142162059.6
0.46	69452668817614.2
0.47	226985803718731
0.48	1.1914829205931E15
0.49	1.98195351485554E16
